Gene_set	p-value	q-value
KEGG_PATHWAYS_IN_CANCER	1.9533303415993434e-06	0.0002641879287013112
KRIEG_HYPOXIA_NOT_VIA_KDM3A	0.0012573997050215752	0.00794410491221491
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	1.6451218011801828e-10	1.780021788876958e-07
REACTOME_PROGRAMMED_CELL_DEATH	3.6078825562030423e-06	0.000325310743817641
KEGG_COLORECTAL_CANCER	1.097202836578244e-06	0.0001896289948682864
MITSIADES_RESPONSE_TO_APLIDIN_DN	0.0004654531670228302	0.005544784891611682
GOLDRATH_ANTIGEN_RESPONSE	0.0009800283614116339	0.00736382421560686
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	0.0015764519223865684	0.009249051320796819
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND	6.740035029125598e-10	3.646358950756949e-07
KEGG_APOPTOSIS	4.297648890608949e-05	0.001722242999866253
BIOCARTA_HSP27_PATHWAY	3.4664167785057163e-08	1.2502209847810618e-05
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.0011713319329242494	0.007727933850146572
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	0.0010828569595095442	0.0074668371804869375
GRAHAM_CML_QUIESCENT_VS_NORMAL_QUIESCENT_UP	6.631580918082207e-05	0.00231463566237579
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	0.00025214006450022876	0.004703716375676681
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_UP	0.000196957165950386	0.004262153071166353
WANG_ESOPHAGUS_CANCER_VS_NORMAL_UP	0.00017246665589016225	0.003825156183909854
MORI_PRE_BI_LYMPHOCYTE_DN	3.0579947078700586e-05	0.0013786459474647516
SHEPARD_BMYB_MORPHOLINO_DN	0.001165526886439386	0.007727933850146572
SHEPARD_BMYB_TARGETS	2.3731148330915662e-05	0.001116395760610902
SHEPARD_CRUSH_AND_BURN_MUTANT_DN	0.001074433249881349	0.0074668371804869375
TENEDINI_MEGAKARYOCYTE_MARKERS	1.0229034345804058e-05	0.0006917384476349994
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	0.0006309984324388616	0.005875089569852147
MURAKAMI_UV_RESPONSE_6HR_UP	1.2268049575582298e-06	0.0001896289948682864
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	9.508965198073025e-05	0.0027613918172323003
NABA_ECM_REGULATORS	0.001680205390798489	0.009508415722805875
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	0.00042459600371586373	0.005469200905006721
KEGG_P53_SIGNALING_PATHWAY	0.0004782266873854275	0.0055565466365098395
KEGG_VEGF_SIGNALING_PATHWAY	0.0008995335316803546	0.007052864357087998
KEGG_PARKINSONS_DISEASE	0.00127422019756232	0.00794410491221491
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.00039129735594776646	0.005469200905006721
KEGG_SMALL_CELL_LUNG_CANCER	0.0017421339298461342	0.009716437691203696
KEGG_VIRAL_MYOCARDITIS	0.001581399717511471	0.009249051320796819
BIOCARTA_CHEMICAL_PATHWAY	2.142072418888985e-05	0.0010535101623808554
BIOCARTA_BCELLSURVIVAL_PATHWAY	7.718414499386662e-06	0.0005786933284386205
BIOCARTA_CASPASE_PATHWAY	1.4242197138524374e-05	0.000811055647572809
BIOCARTA_D4GDI_PATHWAY	2.615480080140982e-06	0.00028299494467125426
BIOCARTA_HIVNEF_PATHWAY	0.00030253843885169623	0.005036101397500544
BIOCARTA_DEATH_PATHWAY	3.476228205788114e-05	0.0014466457379472073
BIOCARTA_MITOCHONDRIA_PATHWAY	1.1862032614410268e-05	0.0007130399604884395
SA_CASPASE_CASCADE	8.022550763936513e-06	0.0005786933284386205
PID_NETRIN_PATHWAY	0.00029086382708946336	0.004995470808107926
PID_IL2_1PATHWAY	0.00039154057151399017	0.005469200905006721
PID_P75_NTR_PATHWAY	0.0004990434595252027	0.005584521413301553
PID_HIV_NEF_PATHWAY	8.103566840405114e-05	0.0025051598060909525
PID_CASPASE_PATHWAY	0.0002466889864081769	0.004703716375676681
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	1.853233901627856e-05	0.0009636588678877018
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.0003097616649783399	0.005078213962220663
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	0.0006934591899657999	0.006100185719861752
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_UP	6.612991744976075e-05	0.00231463566237579
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_UP	0.0003891286958021543	0.005469200905006721
LAU_APOPTOSIS_CDKN2A_UP	0.0002474719418727843	0.004703716375676681
MARKS_HDAC_TARGETS_UP	3.201592249153097e-05	0.0013856491254334604
DUTTA_APOPTOSIS_VIA_NFKB	5.862094626529306e-05	0.002265280852108825
TOMLINS_PROSTATE_CANCER_UP	0.00014418652009694674	0.003714519398688009
SWEET_KRAS_TARGETS_DN	0.0003580595133121504	0.005469200905006721
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.0006506042843162756	0.005875089569852147
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_UP	0.0008976277295366687	0.007052864357087998
RHODES_UNDIFFERENTIATED_CANCER	0.00046002486199577284	0.005544784891611682
JACKSON_DNMT1_TARGETS_UP	0.0008053317275758007	0.006601279766947093
KYNG_DNA_DAMAGE_BY_UV	0.0004105473549770178	0.005469200905006721
BRUECKNER_TARGETS_OF_MIRLET7A3_DN	0.0010463068696577667	0.0074668371804869375
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_UP	7.231062184750367e-05	0.0024450029012187176
VALK_AML_CLUSTER_11	0.00016932900094839955	0.003825156183909854
MIKKELSEN_IPS_HCP_WITH_H3_UNMETHYLATED	0.0009171653463344772	0.0070883778909564595
WARTERS_RESPONSE_TO_IR_SKIN	0.001022744679041996	0.0074668371804869375
EPPERT_CE_HSC_LSC	0.0002613166367511887	0.004792281372284511
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	4.808335449736339e-07	0.00013006547391536798
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	6.197187376307042e-06	0.0005157966723972477
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	9.54473202193646e-07	0.0001896289948682864
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	1.1319980095247996e-05	0.0007130399604884395
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	1.870317580928072e-05	0.0009636588678877018
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.0007362274481534073	0.006272425975606195
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES	0.00015890365104962795	0.0038207500096821656
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES	3.1035623677274715e-06	0.00030527768017101127
REACTOME_TRIF_TICAM1_MEDIATED_TLR4_SIGNALING	0.0016306677652637449	0.009416931996682955
KEGG_HISTIDINE_METABOLISM	0.001649424330242398	0.009416931996682955
KEGG_SELENOAMINO_ACID_METABOLISM	0.0013930116393983951	0.00846763254960148
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.0006515810983200162	0.005875089569852147
BIOCARTA_AKT_PATHWAY	0.0011989327196595537	0.007814730136576128
BIOCARTA_DNAFRAGMENT_PATHWAY	0.00023228984030201783	0.004703716375676681
BIOCARTA_CD40_PATHWAY	0.0004204242945559205	0.005469200905006721
BIOCARTA_IL22BP_PATHWAY	0.0001559278371394973	0.0038207500096821656
BIOCARTA_RAS_PATHWAY	0.0015811491173621014	0.009249051320796819
BIOCARTA_TALL1_PATHWAY	0.00046613236159481796	0.005544784891611682
BIOCARTA_TNFR2_PATHWAY	0.0006135975133043749	0.005875089569852147
BIOCARTA_TFF_PATHWAY	0.0016297283969720598	0.009416931996682955
SA_FAS_SIGNALING	0.00016679695562884882	0.003825156183909854
SA_PROGRAMMED_CELL_DEATH	0.00044400878183925894	0.005544784891611682
PID_TRAIL_PATHWAY	0.001519458219585141	0.009083170130337694
PID_IL5_PATHWAY	0.0005548719771859512	0.005875089569852147
PID_IL3_PATHWAY	0.0012684706572528475	0.00794410491221491
PID_P38_MK2_PATHWAY	0.001264099380543454	0.00794410491221491
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.0011110543309227328	0.0074668371804869375
REACTOME_SIGNALING_BY_HIPPO	0.0016872604609784916	0.009508415722805875
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	0.0003371345748409404	0.005364406029086728
REACTOME_SIGNALLING_TO_RAS	0.0011003202045569312	0.0074668371804869375
REACTOME_P38MAPK_EVENTS	0.0003816731957002706	0.005469200905006721
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.0002989999549731764	0.005036101397500544
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.0005647321543669029	0.005875089569852147
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.0005158424182223015	0.005695321393025818
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.000372847928744874	0.005469200905006721
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	0.0006017026144812646	0.005875089569852147
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.0012815307481387989	0.00794410491221491
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	0.0017884126053565805	0.009923397123055486
REACTOME_REGULATION_OF_IFNG_SIGNALING	0.0005623736929573554	0.005875089569852147
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	0.00046350922670188683	0.005544784891611682
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.0007344602440793538	0.006272425975606195
REACTOME_REGULATION_OF_IFNA_SIGNALING	0.00045586048029824274	0.005544784891611682
REACTOME_DSCAM_INTERACTIONS	0.0014473238479794906	0.008748627952591112
REACTOME_TRYPTOPHAN_CATABOLISM	0.0004862808508249245	0.0055565466365098395
NOJIMA_SFRP2_TARGETS_UP	0.0017182992314876205	0.009633159422122308
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_UP	0.0003975269572003808	0.005469200905006721
GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_DN	0.0004878668488617696	0.0055565466365098395
STREICHER_LSM1_TARGETS_DN	0.0010463446261411158	0.0074668371804869375
TOMIDA_METASTASIS_DN	0.0007352060128231746	0.006272425975606195
OZANNE_AP1_TARGETS_UP	0.0010139111501207406	0.0074668371804869375
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN	0.00046744665009418123	0.005544784891611682
MARKS_HDAC_TARGETS_DN	0.0005831074258734068	0.005875089569852147
DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_UP	0.0016460051122788066	0.009416931996682955
BAKER_HEMATOPOESIS_STAT1_TARGETS	0.00047146045289119665	0.005544784891611682
