Gene_set	p-value	q-value
CHEN_METABOLIC_SYNDROM_NETWORK	0.0001854322279069943	0.00869381950672946
PARENT_MTOR_SIGNALING_UP	0.0003376851623100581	0.009585080659663734
YAGI_AML_WITH_11Q23_REARRANGED	4.9525647111180224e-05	0.005906878854601622
MARKEY_RB1_ACUTE_LOF_DN	1.2794287120881405e-05	0.003730814124449018
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.00015885264478728494	0.00869381950672946
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	4.569452645771657e-05	0.005906878854601622
REACTOME_BIOLOGICAL_OXIDATIONS	0.00034185472860254743	0.009585080659663734
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	0.00014782683923512136	0.00869381950672946
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.0002959281785230722	0.008988818422638318
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	0.00016555650637576776	0.00869381950672946
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP	0.00014263904888463477	0.00869381950672946
ROSS_AML_WITH_MLL_FUSIONS	0.00015684201543565642	0.00869381950672946
BROWNE_INTERFERON_RESPONSIVE_GENES	0.00015351351362280515	0.00869381950672946
ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN	2.8632920470933503e-05	0.005906878854601622
ZHU_CMV_24_HR_UP	0.0002240846387566577	0.008976397945760436
COATES_MACROPHAGE_M1_VS_M2_DN	0.00020074284615913523	0.00869381950672946
SASSON_RESPONSE_TO_FORSKOLIN_UP	0.0002524227131523854	0.008976397945760436
LI_DCP2_BOUND_MRNA	0.00016299429184715703	0.00869381950672946
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	6.746143576056392e-06	0.003730814124449018
BIOCARTA_CASPASE_PATHWAY	5.266764410824491e-05	0.005906878854601622
