Gene_set	p-value	q-value
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.00033416049472409737	0.007407224299717492
KEGG_P53_SIGNALING_PATHWAY	0.0005878752421235232	0.00930884120636786
BIOCARTA_CASPASE_PATHWAY	1.7607050161827826e-05	0.004098040925165427
BIOCARTA_D4GDI_PATHWAY	3.2368778545046387e-06	0.0030135332825438187
BIOCARTA_HIVNEF_PATHWAY	0.0003723440400443981	0.0075359195930724925
BIOCARTA_DEATH_PATHWAY	4.2938007179742194e-05	0.004899211057355441
BIOCARTA_MITOCHONDRIA_PATHWAY	1.4666709371245272e-05	0.004098040925165427
SA_CASPASE_CASCADE	9.922251626873037e-06	0.004098040925165427
PID_HIV_NEF_PATHWAY	9.998389912970288e-05	0.004899211057355441
PID_CASPASE_PATHWAY	0.0003037503591309713	0.00709559352003773
REACTOME_NOD1_2_SIGNALING_PATHWAY	6.135278030141473e-05	0.004899211057355441
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.0002842984242874928	0.00709559352003773
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.00038121244693207384	0.007551250810505547
LUI_THYROID_CANCER_PAX8_PPARG_UP	0.00029387693537832443	0.00709559352003773
MARKS_HDAC_TARGETS_UP	3.954934276265992e-05	0.004899211057355441
LUI_THYROID_CANCER_CLUSTER_1	0.0003487661517768363	0.0075359195930724925
DIRMEIER_LMP1_RESPONSE_LATE_UP	0.0003933868852776017	0.007630066462363482
TSUNODA_CISPLATIN_RESISTANCE_DN	0.00036886445915554735	0.0075359195930724925
HOFMANN_CELL_LYMPHOMA_DN	0.0003064784337361737	0.00709559352003773
ZHAN_MULTIPLE_MYELOMA_MF_UP	0.0003687303992996369	0.0075359195930724925
CHIARETTI_ACUTE_LYMPHOBLASTIC_LEUKEMIA_ZAP70	0.0005984740584538409	0.00930884120636786
YIH_RESPONSE_TO_ARSENITE_C1	2.2742037489335014e-05	0.004234567380514179
BILD_SRC_ONCOGENIC_SIGNATURE	0.0006033130634214913	0.00930884120636786
BERNARD_PPAPDC1B_TARGETS_UP	0.0001939839189485277	0.006449965305038547
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	8.23422096411491e-05	0.004899211057355441
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.000635862957762334	0.00930884120636786
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.0007191738242275149	0.009321849745571655
KEGG_RIBOFLAVIN_METABOLISM	0.0006681589460427539	0.00930884120636786
BIOCARTA_MCM_PATHWAY	0.0007003755973325032	0.009321849745571655
BIOCARTA_SODD_PATHWAY	0.0002756762200499546	0.00709559352003773
BIOCARTA_HSP27_PATHWAY	0.0005602273403873693	0.00930884120636786
SA_FAS_SIGNALING	0.0001917782036684087	0.006449965305038547
SA_PROGRAMMED_CELL_DEATH	0.000510219208938856	0.00880463751582495
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.0005106878902841539	0.00880463751582495
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.0006488230935954725	0.00930884120636786
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.00021296791200363296	0.006837004347426976
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.0005926969312991358	0.00930884120636786
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.0007483507392965382	0.009415061328176717
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.00041454115559091156	0.00787628195622732
HUMMEL_BURKITTS_LYMPHOMA_DN	0.0007890708520801099	0.009794999510487765
NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_DN	0.00048098861317600466	0.008611546132055007
MARKS_HDAC_TARGETS_DN	0.0006699166066881275	0.00930884120636786
MATTIOLI_MGUS_VS_MULTIPLE_MYELOMA	0.0006801245824394008	0.009311705680162973
LI_WILMS_TUMOR_ANAPLASTIC_DN	8.208767210978889e-05	0.004899211057355441
ZEILSTRA_CD44_TARGETS_DN	0.00022632402258344257	0.007023588834172835
OSAWA_TNF_TARGETS	0.00024682767876404077	0.00709559352003773
IGLESIAS_E2F_TARGETS_DN	0.0004763823620708403	0.008611546132055007
DASU_IL6_SIGNALING_SCAR_DN	0.000647017535528222	0.00930884120636786
GALI_TP53_TARGETS_APOPTOTIC_UP	0.00013018258148993385	0.005269564494222975
CLIMENT_BREAST_CANCER_COPY_NUMBER_DN	0.0007209164142654771	0.009321849745571655
MIKKELSEN_PLURIPOTENT_STATE_DN	0.00014048726949235452	0.0052953374949584716
ZHAN_EARLY_DIFFERENTIATION_GENES_UP	9.806771695145058e-05	0.004899211057355441
GERHOLD_RESPONSE_TO_TZD_UP	6.555805900653006e-05	0.004899211057355441
MURAKAMI_UV_RESPONSE_1HR_UP	0.0006219239479360436	0.00930884120636786
BERGER_MBD2_TARGETS	9.597119698007184e-05	0.004899211057355441
BIOCARTA_PEPI_PATHWAY	0.00011152893877430153	0.005191672099943736
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.00012066088535854559	0.005269564494222975
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	0.0006603154018571539	0.00930884120636786
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	0.00019041552440999637	0.006449965305038547
REACTOME_TRANSMISSION_ACROSS_ELECTRICAL_SYNAPSES	8.334272115691763e-05	0.004899211057355441
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	0.0007180659763172501	0.009321849745571655
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE	0.00014219488439738107	0.0052953374949584716
REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.0007407023471375728	0.009415061328176717
REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	0.0002632998680597665	0.00709559352003773
REACTOME_REGULATION_BY_C_FLIP	0.00031248048799306866	0.00709559352003773
REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING	0.0004287452476000708	0.007983236510313319
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY	9.224829633617866e-05	0.004899211057355441
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES	0.0005304935524347353	0.008979809042122517
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	8.279588548813943e-05	0.004899211057355441
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC:ORIGIN_COMPLEX	0.0002832464025953662	0.00709559352003773
REACTOME_FASL_CD95L_SIGNALING	4.597995695428592e-05	0.004899211057355441
REACTOME_TRAIL_SIGNALING	9.247884363473132e-05	0.004899211057355441
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS	0.0003029242027099083	0.00709559352003773
REACTOME_TLR3_MEDIATED_TICAM1_DEPENDENT_PROGRAMMED_CELL_DEATH	0.0001288878126451599	0.005269564494222975
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	0.000257766839050364	0.00709559352003773
